mouse_id,population,family,sex,acclim1,acclimation,po2,temp,mass,vo2,vo2_mass,vo2.res,vco2,vco2_mass,tv_btps,tv_btps_mass,tv_stp,frequency,total_vent,total_vent_mass,total_vent_stp,total_vent_mass_stp,pulmonary_extraction,arterial_sat,hr,o2_pulse,venous_content,hb,ca02,av_diff,ox_extraction_ratio,co,co_mass,sv,sv_uL,sv_ul_g,o2_delivery,venous_sat,hct,mean_cell_hb,pco2,ph,bicarb_6.1,bicarb_6.08,glu,lac
LN.F1.132.ai,LN,LN132,F,3,CH,hypox,cold,23.03,4.652854397,0.202,0.936230418,3.001487555,0.1303,,,,,,,,,,,,,1.67,22.492,,,,,,,,,,7.424862173,0.704574594,0.031325564,30.6,7.3,14.54931951,15.23500781,7.3,2.4
LN.F1.132.aj,LN,LN132,F,3,CH,hypox,cold,22.9,4.949612713,0.216140293,1.240480002,3.455848672,0.150910422,13.59249389,0.013592494,12.43492349,480.1804294,149.4648548,6.526849555,136.736058,5.971006899,0.297981742,83.99,568,0.008714107,2.71,20.09,23.45429149,20.74429149,0.884456113,23.86011938,1.04192661,0.001834378,42.00725242,1.834377835,24.43765043,13.48929816,0.665162975,0.033109158,37.6,7.35,20.05899175,21.0043429,12.8,2.7
LN.F1.132.aq.1,LN,LN132,M,2,C,norm,cold,18.52,3.490609802,0.188477851,0.03387518,2.767439721,0.149429791,16.3724518,0.016372452,16.20762623,380.5451488,115.3880656,6.230457108,114.2264251,6.167733536,0.254655742,84.09508197,458.5102041,0.007612938,,16.634925,,,,,,,,,,,0.478482689,,,,,,,
LN.F1.132.aq.2,LN,LN132,M,0,N,norm,warm,23.6,3.280772451,0.139015782,-0.468697855,2.343732739,0.099310709,12.19241721,0.012192417,11.1806476,379.1809548,109.1059246,4.623132398,100.0519317,4.239488632,0.270940043,81.93178808,487.6622517,0.000285066,,18.7,,,,,,,,,,,0.663589995,0.035486096,,,,,,
LN.F1.132.ar.1,LN,LN132,M,0,N,norm,warm,24.93,2.851537667,0.114381776,-0.974574067,1.907949507,0.076532271,16.50215707,0.016502157,16.17527934,323.8120639,133.2158867,5.343597542,130.5771221,5.237750587,0.181982981,78.356,502.36,0.000227689,,16.698279,,,,,,,,,,,0.441213609,,,,,,,
LN.F1.132.ar.2,LN,LN132,M,0,N,norm,warm,17.6,2.447667616,0.139072024,-0.956051883,1.732184158,0.098419554,8.963349779,0.00896335,8.039961158,438.4730402,69.17129522,3.930187228,62.04538934,3.525306212,0.326288207,86.3239819,671.4751131,0.000207114,1.25,18.33,21.99422838,20.74422838,0.943166908,11.79927048,0.670413096,0.000998418,17.57216352,0.998418382,14.74521873,6.819421713,0.57466,0.031350791,,,,,6.7,8.1
LN.F1.132.as,LN,LN132,M,0,N,norm,warm,23.24,3.178203149,0.136755729,-0.550522108,2.006768526,0.086349764,12.86138681,0.012861387,11.54298183,353.3918416,105.6283371,4.545109169,94.80050589,4.079195606,0.277491398,,,,2.302,,,,,,,,,,,,0.6636,,50,7.32,24.89380361,26.06701243,9.7,5.9
LN.F1.132.aw,LN,LN132,F,0,N,norm,warm,18.41,2.502634321,0.135938855,-0.947761537,1.939683167,0.105360302,12.30338535,0.012303385,12.0373065,435.2109114,98.57758863,5.354567552,96.44570289,5.238767132,0.216238623,79.10366972,587.1559633,0.000231521,,14.924367,,,,,,,,,,,0.415033225,,,,,,,
LN.F1.132.ax,LN,LN132,F,1,H,hypox,warm,13.77,2.252668583,0.16359249,-0.930346651,1.521519527,0.110495245,11.37685738,0.011376857,11.22326133,375.645828,58.84842226,4.27366901,58.05392471,4.215971293,0.323358641,77.86515152,376.87,0.005977309,,18.13,,,,,,,,,,,0.4529,,,,,,,
LN.F1.132.ba,LN,LN132,F,2,C,norm,cold,22.85,3.562137812,0.155892246,-0.144113643,2.804975366,0.122756034,10.91267091,0.010912671,10.77937228,355.174942,88.56448081,3.875907256,87.48266284,3.828562925,0.339318452,76.98133333,588.85,0.006049313,,16.254801,,,,,,,,,,,0.4584183,,,,,,,
